"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89"
153,"K1","E1","I1","G1","A1","C1","E1","I1","C1","E1","C1","E1","C1","C1","B1","E1","G1","G1","K1","B1","B1","E1","A1","J1","A1","C1","E1","A1","J1","A1","E1","K2","J2","A2","J2","B3","E3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
154,"J1","J1","H1","H1","C1","B1","B2","A2","H2","K3","G4","B4","I4","H4","C4","J4","G4","G4","B4","D4","K4","I4","J4","G4","B4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
155,"C1","K1","E1","I2","B2","E3","J3","I4","B4","E4","A4","D4","J4","J4","J4","I4","E4","J4","J4","I4","D4","B4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
156,"J1","E1","C1","H1","A1","J1","E1","G1","E1","D2","C2","I3","D4","H4","C4","A4","J4","G4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
157,"A1","K1","C1","K1","E1","E1","C1","K1","H1","J1","E1","A1","H1","H1","A1","H1","C2","C2","J2","K3","G3","I4","I4","D4","C4","K4","E4","G4","E4","A4","H4","K4","C4","K4","J4","G4","K4","C4","K4","E4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
158,"A1","I1","I1","C1","H1","K1","C2","D3","C3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
159,"B1","E1","D1","E1","C1","H2","K2","A2","A2","E2","C2","C3","C3","K3","I4","G4","A4","A4","A4","E4","B4","C4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
160,"G1","J1","J1","D1","E1","E1","H1","H1","C1","E1","E1","C1","A1","I1","I1","C2","G3","K3","K3","D4","B4","D4","E4","C4","K4","I4","I4","J4","G4","B4","E4","C4","A4","G4","G4","G4","C4","G4","G4","G4","G4","G4","B4","A4","H4","I4","H4","J4","C4","G4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
161,"A1","A1","H1","H1","J1","E1","I1","J1","H1","H1","J2","K3","J3","I4","D4","D4","A4","D4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
162,"G1","E1","A1","D1","G1","C1","A1","D1","E1","A1","D1","G1","G1","E1","C1","K2","K3","B3","H4","A4","B4","D4","A4","I4","J4","J4","I4","G4","K4","I4","I4","D4","I4","A4","A4","A4","B4","D4","I4","J4","H4","A4","J4","C4","D4","K4","I4","H4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
163,"A1","J1","D1","C2","J2","I2","E2","I3","D4","K4","J4","A4","C4","G4","I4","H4","I4","J4","G4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
164,"A1","J1","B2","G2","A2","J2","H3","D3","I3","C3","E3","K3","I3","J3","A3","I3","J3","B3","E3","A3","A3","E3","I3","J3","I3","K3","A3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
165,"E1","A1","G1","E1","A1","B1","E1","B1","H1","K1","C1","H2","G2","J2","H2","B3","A3","G3","D3","B3","D3","B3","E3","E3","A4","K4","I4","H4","E4","C4","E4","B4","I4","I4","I4","C4","D4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
166,"A1","I1","J1","B2","E2","H3","J3","J3","I3","A3","J3","A3","J3","E3","K3","B3","C3","I3","I3","D3","I3","J3","J3","H3","J3","C3","H3","I3","D4","G4","C4","J4","G4","I4","B4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
167,"G1","A1","K1","J1","E1","C1","J1","H1","A1","H1","K1","J1","D1","I1","I1","I2","I2","K3","A3","E3","E3","K4","A4","H4","D4","J4","G4","G4","K4","A4","C4","K4","B4","E4","A4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
168,"E1","D1","B1","B2","H2","A2","I3","K3","D4","I4","J4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
169,"J1","D1","C1","H1","H1","D1","I1","B1","H1","B2","H3","C3","H3","I3","A3","E3","K3","D4","C4","E4","E4","D4","G4","K4","B4","A4","A4","J4","A4","I4","I4","K4","K4","H4","B4","J4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
170,"A1","K1","C2","C2","B2","H2","G2","G2","I2","I2","B2","E3","K4","C4","K4","I4","A4","D4","A4","H4","J4","K4","I4","E4","A4","G4","E4","I4","K4","J4","G4","G4","I4","E4","A4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
171,"C1","I1","B1","E1","D1","K1","H1","K1","C1","I1","B1","C1","B1","H1","J1","K2","E3","I4","K4","G4","E4","K4","J4","I4","D4","B4","A4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
172,"C1","B1","B1","H2","E2","E2","K3","B3","A3","C3","K3","J4","H4","D4","C4","D4","B4","A4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
173,"A1","C1","E1","K1","E1","C2","C2","J2","G2","K3","A3","I3","C3","B3","E3","I4","J4","G4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
174,"A1","C1","E1","G1","G1","D1","B1","H2","E2","A2","D3","J3","J3","D3","G3","C3","E3","E3","H4","A4","B4","A4","G4","C4","D4","C4","D4","K4","K4","K4","H4","A4","A4","A4","E4","C4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
175,"A1","H1","E1","G1","B1","A1","B1","A1","B1","C2","J2","H3","E3","K4","J4","I4","E4","D4","J4","J4","I4","B4","H4","D4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
176,"D1","D2","E3","E3","C3","H3","G3","D4","G4","G4","I4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
177,"D1","I2","K3","A3","J3","K4","I4","A4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
178,"A1","I1","I1","H1","D1","E1","D1","D2","H2","A2","G2","A2","G3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
179,"K1","K1","E1","K1","I2","J2","J2","J2","J3","C4","H4","G4","E4","G4","K4","B4","A4","C4","H4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
180,"I1","C2","K3","D3","G4","B4","A4","I4","B4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
181,"A1","I1","A1","E1","J1","G1","E1","C2","I3","I3","D4","G4","G4","K4","B4","D4","H4","J4","G4","B4","E4","J4","D4","D4","G4","B4","A4","G4","C4","C4","A4","C4","J4","B4","A4","C4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
182,"A1","I1","C1","A1","D2","H2","I3","D3","I3","D4","B4","E4","E4","E4","J4","D4","G4","H4","C4","D4","B4","A4","G4","G4","B4","G4","K4","B4","J4","D4","D4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
183,"A1","G1","C1","H1","A1","I1","A1","I1","I1","C2","J2","C2","C3","D4","C4","G4","B4","E4","E4","A4","C4","G4","I4","J4","D4","J4","D4","K4","C4","A4","I4","D4","J4","E4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
184,"A1","C1","E1","I2","D3","I3","C3","C3","C3","K3","E3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
185,"A1","J1","J1","I1","H1","H1","C2","G3","C3","I3","J3","A3","J3","E3","H3","G4","K4","D4","A4","I4","J4","B4","J4","D4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
186,"K1","E1","G1","B1","H1","C2","B2","E3","E3","K4","I4","D4","J4","J4","G4","I4","B4","I4","E4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
187,"A1","I1","C1","H1","B2","D3","E3","H3","B3","E3","I3","K3","K3","H3","J3","H3","J3","J3","C3","I3","J3","A3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
188,"A1","J1","J1","D1","D2","B2","H3","C3","H3","G3","H3","I3","D4","B4","A4","C4","G4","G4","B4","A4","C4","E4","G4","G4","G4","K4","I4","K4","B4","A4","I4","G4","B4","B4","A4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
189,"G1","C2","D3","I3","D4","B4","J4","D4","K4","I4","A4","G4","G4","G4","H4","H4","C4","G4","G4","I4","H4","K4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
190,"C1","E1","D2","K3","A3","I3","A3","I3","J3","D4","K4","C4","D4","A4","I4","K4","E4","I4","J4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
191,"A1","J1","E1","B1","B1","B1","B1","B1","J1","D1","E1","G1","E1","K1","G1","C2","E3","G4","I4","B4","E4","G4","K4","A4","C4","J4","G4","I4","H4","C4","H4","J4","D4","B4","I4","J4","A4","C4","H4","C4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
192,"E1","A1","E1","D2","E2","J2","I2","D2","E2","K3","B3","I4","A4","C4","I4","J4","H4","D4","K4","H4","A4","C4","J4","H4","G4","C4","J4","A4","A4","A4","G4","K4","A4","A4","K4","K4","H4","G4","K4","C4","D4","A4","A4","A4","G4","D4","A4","A4","A4","B4","C4","G4","K4","G4","G4","K4","A4","A4","A4","J4","I4","J4","H4","A4","E4","C4","D4","J4","J4","C4","C4","H4","E4","C4","H4","A4","B4","A4","J4","A4","C4","K4","END4",NA,NA,NA,NA,3
193,"H1","H1","K1","B1","B1","D1","J1","E1","K1","J1","J1","H1","I1","I1","B1","C2","C2","D2","A3","E3","J3","C3","D4","J4","H4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
194,"J1","E1","K1","B1","C1","B1","E1","C1","D1","H1","A1","H1","E1","A1","H1","C1","B1","D1","G1","H1","D1","A1","I2","D2","A2","E3","I4","D4","K4","C4","E4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
195,"A1","C1","G1","B1","H2","D2","B3","E3","E3","E3","H4","G4","C4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
196,"H1","H1","C1","H1","C1","E1","D1","H1","H1","D1","C2","J2","K2","E2","K3","H3","I3","B4","J4","H4","C4","K4","B4","A4","C4","J4","A4","G4","B4","B4","J4","A4","I4","H4","C4","D4","K4","B4","A4","I4","J4","A4","C4","J4","B4","B4","A4","G4","K4","C4","G4","K4","I4","C4","E4","E4","J4","E4","G4","G4","K4","I4","J4","G4","C4","G4","B4","K4","B4","K4","B4","B4","E4","D4","J4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
197,"A1","K1","H1","C1","B1","E1","A1","H1","I2","B3","K4","A4","D4","C4","I4","D4","I4","E4","A4","D4","J4","E4","K4","G4","E4","A4","I4","J4","E4","A4","B4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
198,"A1","H1","C1","E1","E1","B1","H1","B2","D2","G2","K3","H3","J3","K3","K3","D4","E4","A4","C4","A4","C4","K4","C4","A4","C4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
199,"I1","C1","E1","G1","C2","H3","I3","D4","E4","E4","C4","H4","C4","E4","G4","G4","K4","B4","B4","D4","K4","D4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
200,"E1","B1","B1","B1","J1","D1","D2","J2","K3","I3","D4","G4","K4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
201,"H1","H1","B2","C2","D3","G3","B3","D4","J4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
202,"C1","E1","B1","D2","J2","I2","H2","I2","C3","C3","I3","H4","G4","K4","K4","I4","END4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
203,"H1","J1","K2","K3","A3","J3","C3","B3","E3","END3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
